model,architecture,condition,metric,n,mean,sd,median,q1,q3,min,max
gpt-4o-mini,Debugger,passing,sloc,124,6.395161290322581,4.267133895378842,6.0,3.0,9.0,2.0,27.0
gpt-4o-mini,Debugger,passing,comments,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,Debugger,passing,multi,124,0.11290322580645161,0.8945151515834001,0.0,0.0,0.0,0.0,8.0
gpt-4o-mini,Debugger,passing,blank,124,0.46774193548387094,0.7482824112643606,0.0,0.0,1.0,0.0,4.0
gpt-4o-mini,Debugger,passing,cc,124,3.185483870967742,1.614804151249374,3.0,2.0,4.0,1.0,8.0
gpt-4o-mini,Debugger,passing,halstead_volume,124,37.34071326131689,45.66289004679886,22.44867642699313,4.754887502163469,54.20747707614211,0.0,239.7224256251957
gpt-4o-mini,Debugger,passing,halstead_difficulty,124,1.776620268290472,1.6365263505453262,1.2666666666666666,0.5,2.525,0.0,9.0
gpt-4o-mini,Debugger,passing,halstead_effort,124,126.34028824019758,242.5261883578437,28.659716579111063,2.3774437510817346,153.762948819062,0.0,1605.395382709427
gpt-4o-mini,AC+Debugger,passing,loc,124,6.82258064516129,4.611841222872726,6.0,4.0,9.0,2.0,32.0
gpt-4o-mini,AC+Debugger,passing,sloc,124,6.290322580645161,4.176539575045949,6.0,3.0,8.0,2.0,27.0
gpt-4o-mini,AC+Debugger,passing,comments,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,AC+Debugger,passing,multi,124,0.11290322580645161,0.8945151515834001,0.0,0.0,0.0,0.0,8.0
gpt-4o-mini,AC+Debugger,passing,blank,124,0.41935483870967744,0.7110826989690753,0.0,0.0,1.0,0.0,5.0
gpt-4o-mini,AC+Debugger,passing,cc,124,3.161290322580645,1.6098633824487991,3.0,2.0,4.0,1.0,8.0
gpt-4o-mini,AC+Debugger,passing,halstead_volume,124,36.27617331442612,45.78095350212447,19.73638880654258,4.754887502163469,50.3445596373727,0.0,239.7224256251957
gpt-4o-mini,AC+Debugger,passing,halstead_difficulty,124,1.7114176953258022,1.599665487164421,1.2,0.5,2.5,0.0,8.678571428571429
gpt-4o-mini,AC+Debugger,passing,halstead_effort,124,121.51267542749892,241.55321469017426,25.5,2.3774437510817346,130.40301096373207,0.0,1609.5802774355723
gpt-4o-mini,ACT+Debugger,passing,loc,124,10.040322580645162,4.041249089580945,10.0,7.0,12.0,2.0,24.0
gpt-4o-mini,ACT+Debugger,passing,sloc,124,9.338709677419354,3.547327166874896,9.0,7.0,11.0,2.0,23.0
gpt-4o-mini,ACT+Debugger,passing,comments,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,ACT+Debugger,passing,multi,124,0.08064516129032258,0.6451416204711964,0.0,0.0,0.0,0.0,6.0
gpt-4o-mini,ACT+Debugger,passing,blank,124,0.6209677419354839,0.9592743017212684,0.0,0.0,1.0,0.0,4.0
gpt-4o-mini,ACT+Debugger,passing,cc,124,4.637096774193548,2.100463276112784,4.0,3.0,6.0,1.0,16.0
gpt-4o-mini,ACT+Debugger,passing,halstead_volume,124,57.30786806766759,56.75542855178608,41.51317942364757,23.06320672398301,69.9013751747143,0.0,356.5691823574533
gpt-4o-mini,ACT+Debugger,passing,halstead_difficulty,124,2.6164500625844136,1.7943246355779603,2.3333333333333335,1.5,3.513888888888889,0.0,9.333333333333334
gpt-4o-mini,ACT+Debugger,passing,halstead_effort,124,219.95792477161234,345.98148005378266,101.96769454040941,30.799139238429156,245.09205558832917,0.0,2277.4418744121213
