model,metric,condition,arch_a,arch_b,layers,mechanism,n,wilcoxon_stat,p_raw,p_holm,significant,rank_biserial,rrb_magnitude,median_diff,higher_complexity
gpt-4o-mini,sloc,primary,Basic,ACT+Debugger,"R,T,D",Compound,164,735.0,2.1590699574527695e-17,2.5908839489433236e-16,True,-0.8398692810457516,large,-3.0,ACT+Debugger
gpt-4o-mini,sloc,primary,AC,ACT,T,Single,164,2036.5,0.28410962399076745,1.0,False,0.1252147766323024,small,0.5,AC
gpt-4o-mini,sloc,primary,AC,Debugger,R<->D,Swap,164,642.5,2.3087689763700565e-18,3.001399669281073e-17,True,0.8620652640618292,large,3.5,AC
gpt-4o-mini,sloc,primary,AC,AC+Debugger,D,Single,164,624.5,1.6314960753806634e-18,2.2840945055329287e-17,True,0.865929583512237,large,3.5,AC
gpt-4o-mini,sloc,primary,AC,ACT+Debugger,"T,D",Compound,164,1885.5,0.24788878734289943,1.0,False,0.13726835964310227,small,0.5,AC
gpt-4o-mini,sloc,primary,ACT,Debugger,"R,T,D",Compound,164,1027.5,3.80570594078029e-16,3.044564752624232e-15,True,0.7917933130699089,large,3.0,ACT
gpt-4o-mini,sloc,primary,ACT,AC+Debugger,T<->D,Swap,164,1018.5,1.9854654112901257e-16,1.9854654112901255e-15,True,0.7965238237938268,large,3.0,ACT
gpt-4o-mini,sloc,primary,ACT,ACT+Debugger,D,Single,164,2220.5,0.6924704635477914,1.0,False,0.046176975945017185,negligible,0.0,ACT
gpt-4o-mini,sloc,primary,Debugger,AC+Debugger,R,Single,164,57.0,0.8641063156038269,1.0,False,0.05,negligible,0.0,Debugger
gpt-4o-mini,sloc,primary,Debugger,ACT+Debugger,"R,T",Compound,164,872.0,4.53162907907296e-16,3.172140355351072e-15,True,-0.8071862907683803,large,-3.0,ACT+Debugger
gpt-4o-mini,sloc,primary,AC+Debugger,ACT+Debugger,T,Single,164,858.5,2.163981387796492e-16,1.9854654112901255e-15,True,-0.812962962962963,large,-3.0,ACT+Debugger
gpt-4o-mini,cc,primary,Basic,AC,R,Single,164,673.0,1.3237202128354371e-12,1.456092234118981e-11,True,-0.7754795663052544,large,-1.0,AC
gpt-4o-mini,cc,primary,Basic,ACT,"R,T",Compound,164,680.5,8.85600084746809e-13,1.0627201016961708e-11,True,-0.777067977067977,large,-1.0,ACT
gpt-4o-mini,cc,primary,Basic,Debugger,D,Single,164,53.0,0.6869077233670662,1.0,False,-0.11666666666666667,small,0.0,Debugger
gpt-4o-mini,cc,primary,Basic,AC+Debugger,"R,D",Compound,164,34.0,0.41538928559001387,1.0,False,-0.25274725274725274,small,0.0,AC+Debugger
gpt-4o-mini,cc,primary,Basic,ACT+Debugger,"R,T,D",Compound,164,547.0,3.745766111584441e-15,5.244072556218218e-14,True,-0.8359820089955022,large,-2.0,ACT+Debugger
gpt-4o-mini,cc,primary,AC,ACT,T,Single,164,1486.5,0.784644510982027,1.0,False,0.035053554040895815,negligible,0.0,AC
gpt-4o-mini,cc,primary,AC,Debugger,R<->D,Swap,164,721.0,3.729300388460965e-12,2.983440310768772e-11,True,0.759466221851543,large,1.0,AC
gpt-4o-mini,cc,primary,AC,AC+Debugger,D,Single,164,655.5,2.3922700348187436e-12,2.2178702901267107e-11,True,0.773104880581516,large,1.0,AC
gpt-4o-mini,cc,primary,AC,ACT+Debugger,"T,D",Compound,164,1155.5,0.3627485999233667,1.0,False,-0.12062404870624048,small,-1.0,ACT+Debugger
gpt-4o-mini,cc,primary,ACT,Debugger,"R,T,D",Compound,164,797.0,6.4317431737733926e-12,4.5022202216413746e-11,True,0.7435649935649936,large,1.0,ACT
gpt-4o-mini,cc,primary,ACT,AC+Debugger,T<->D,Swap,164,700.5,2.2178702901267107e-12,2.2178702901267107e-11,True,0.7663052543786488,large,1.0,ACT
gpt-4o-mini,cc,primary,ACT,ACT+Debugger,D,Single,164,1252.0,0.19195361650190623,1.0,False,-0.16616716616716617,small,-1.0,ACT+Debugger
gpt-4o-mini,cc,primary,Debugger,AC+Debugger,R,Single,164,13.5,0.9320385634920316,1.0,False,-0.03571428571428571,negligible,0.0,AC+Debugger
gpt-4o-mini,cc,primary,Debugger,ACT+Debugger,"R,T",Compound,164,546.5,2.7713783534882994e-14,3.602791859534789e-13,True,-0.8241634491634492,large,-2.0,ACT+Debugger
gpt-4o-mini,cc,primary,AC+Debugger,ACT+Debugger,T,Single,164,436.0,3.0427977605943586e-15,4.564196640891538e-14,True,-0.8571662571662572,large,-2.0,ACT+Debugger
gpt-4o-mini,halstead_volume,primary,Basic,AC,R,Single,164,1513.5,5.044904455265386e-10,5.5493949007919244e-09,True,-0.6333575581395349,large,-15.349122328591648,AC
gpt-4o-mini,halstead_volume,primary,Basic,ACT,"R,T",Compound,164,1517.0,4.1294695893466456e-11,5.368310466150639e-10,True,-0.659521939176299,large,-21.967318879572318,ACT
gpt-4o-mini,halstead_volume,primary,Basic,Debugger,D,Single,164,129.0,0.36738549088127304,1.0,False,-0.20615384615384616,small,0.0,Debugger
gpt-4o-mini,halstead_volume,primary,Basic,AC+Debugger,"R,D",Compound,164,121.0,0.26414963406386194,1.0,False,-0.2553846153846154,small,0.0,AC+Debugger
